                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 1.1295,                0.68648,                  0.926,                0.93595,                0.94118,                 0.9276,                0.48524,                 1.7042,                0.84528,                 1.2331,              0.0010199,              0.0010199,              0.0010199
                    102,                  1.221,                0.74029,                 1.0107,                0.99371,                      1,                  0.995,                0.53685,                 1.5791,                0.79584,                 1.1624,                0.00101,                0.00101,                0.00101
                    103,                  1.222,                0.69434,                0.97937,                0.99576,                      1,                  0.995,                0.53728,                 1.4877,                0.76852,                 1.1146,              0.0010001,              0.0010001,              0.0010001
                    104,                 1.3425,                0.73047,                 1.0436,                  0.996,                      1,                  0.995,                0.53042,                 1.4478,                0.75487,                 1.0995,              0.0009902,              0.0009902,              0.0009902
                    105,                  1.268,                0.71655,                0.98305,                0.99592,                      1,                  0.995,                0.56456,                 1.3905,                0.74575,                 1.0758,              0.0009803,              0.0009803,              0.0009803
                    106,                 1.2549,                0.70437,                 0.9647,                0.99588,                      1,                  0.995,                0.57301,                 1.3832,                0.74425,                 1.0692,              0.0009704,              0.0009704,              0.0009704
                    107,                 1.2706,                0.71925,                0.98221,                0.99582,                      1,                  0.995,                0.56276,                 1.3867,                0.76247,                 1.0374,              0.0009605,              0.0009605,              0.0009605
                    108,                 1.2282,                0.72005,                0.99393,                0.99594,                      1,                  0.995,                0.53472,                 1.4242,                0.80219,                 1.0428,              0.0009506,              0.0009506,              0.0009506
                    109,                  1.205,                 0.7162,                 1.0011,                0.99566,                      1,                  0.995,                0.54935,                 1.3899,                0.77005,                 1.0409,              0.0009407,              0.0009407,              0.0009407
                    110,                 1.1455,                0.63784,                0.96843,                0.99131,                      1,                  0.995,                0.59608,                 1.3137,                0.72514,                0.99681,              0.0009308,              0.0009308,              0.0009308
                    111,                 1.1431,                0.64932,                0.92156,                0.99553,                      1,                  0.995,                0.61816,                 1.2356,                0.70427,                 0.9967,              0.0009209,              0.0009209,              0.0009209
                    112,                 1.2896,                0.73306,                0.99043,                0.93712,                0.94118,                0.95386,                0.60233,                 1.2757,                0.69893,                 1.0164,               0.000911,               0.000911,               0.000911
                    113,                  1.126,                0.64359,                0.93216,                0.93695,                0.94118,                0.94972,                0.57581,                 1.3239,                0.68499,                 1.0606,              0.0009011,              0.0009011,              0.0009011
                    114,                 1.2619,                 0.6979,                0.98658,                0.93702,                0.94118,                 0.9291,                0.57153,                 1.3479,                0.69373,                  1.086,              0.0008912,              0.0008912,              0.0008912
                    115,                 1.2251,                0.69087,                0.94354,                0.93676,                0.94118,                0.92605,                0.58218,                 1.3249,                0.68327,                  1.082,              0.0008813,              0.0008813,              0.0008813
                    116,                 1.2187,                0.67931,                0.93139,                 0.9368,                0.94118,                0.92546,                0.57759,                 1.3755,                0.69224,                  1.117,              0.0008714,              0.0008714,              0.0008714
                    117,                 1.2689,                0.70448,                 1.0111,                0.93594,                0.94118,                0.92499,                 0.5576,                 1.4642,                0.73028,                 1.1546,              0.0008615,              0.0008615,              0.0008615
                    118,                 1.1662,                0.68538,                0.94318,                0.93715,                0.94118,                0.91907,                0.53454,                 1.5707,                0.80366,                   1.19,              0.0008516,              0.0008516,              0.0008516
                    119,                 1.2091,                0.68637,                0.93639,                0.94115,                0.94081,                0.90218,                0.49257,                 1.6181,                 0.8387,                 1.2022,              0.0008417,              0.0008417,              0.0008417
                    120,                 1.2098,                0.67768,                0.96802,                 0.9409,                0.93674,                0.92846,                0.54176,                 1.5702,                0.75264,                  1.181,              0.0008318,              0.0008318,              0.0008318
                    121,                0.97639,                0.66014,                0.91426,                0.93666,                0.94118,                0.96155,                0.55971,                 1.5685,                0.72942,                 1.1732,              0.0008219,              0.0008219,              0.0008219
                    122,                 1.1726,                0.70381,                 0.9569,                0.93653,                0.94118,                0.97658,                0.54972,                 1.5915,                0.74947,                 1.1771,               0.000812,               0.000812,               0.000812
                    123,                 1.1194,                0.66927,                0.99384,                0.93604,                0.94118,                0.97842,                0.56398,                 1.5651,                0.75619,                 1.1635,              0.0008021,              0.0008021,              0.0008021
